clean_text,Sentiment,label
Depression is the flu in mental illness,Positive,1
The moment you lose someone really close to it is when you know depression is real and people are out there really tired of it You have cup of coffee in the evening after jobo or whatever and the next morning you wake up to RIPs ,Negative,0
Research has shown that too much of social media networking can contribute to anxiety and depression,Positive,1
I love how people are riding on this fiasco in Kenya yet most of them are partly the cause of some individuals depression down moments and instability But on the socials theyre Messiahs of hope and advise and cry wolfclaiming to be victims short thread,Positive,1
Nime realize kila mmoja wenu ako na depressionwoozyface,Positive,1
facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy Uyo atapigwa depression,Positive,1
Time for depression and self pity session,Positive,1
Depression among the forces should be looked into more seriously Mental Health should be easily accessible,Positive,1
It is easier to say My tooth is aching than to say am battling depression Guys lets speak up we can all see whats happening kwa news and all around us MAY THE LORD PROTECT US ALL,Positive,1
Depression and anxiety disorders are the leading mental illnesses diagnosed in Kenya followed by substance use disorders,Positive,1
Support your fellow men Wacha wanone then banter them into reducing weight but NEVER and repeat NEVER cut their source of income because you dont like them Wanaume tunakapitia huku nje let me prosper brathas Depression juu ya being sidelined as male gender is killing us,Negative,0
Keep championing Mental health conditions eg stress depression anxiety may develop due to underlying lifechanging physical health problems eg cancer diabetes chronic pain Many loved ones are struggling with schizophrenia OCD depression anxiety PSTD bipolar,Negative,0
Did you know Often times anxiety and depression cooccur with different symptoms About 50 of people with depression also have anxiety disorder,Positive,1
Japan has just created ministry of Loneliness Its minister will look into rising cases of suicide and matters related to depression It is time we have CS of corruption it has been rising steadily,Negative,0
Hii mtaa ni ya depression,Positive,1
Depression Anxiety Disorder and Suicidal Thoughts consume majority of my life have put smile on for so long but deep inside am completely broken Behind the laughter there is lot of pain,Negative,0
The truth is struggle with severe depression  I’ve struggled with it my whole life  know go through spells where post lot on social media then have moments where don’t even have the desire or confidence to respond to text message more or less make post,Positive,1
Inaweza fanya update depression ya life but we just do our level best ampleave the rest to God to guide us through,Positive,1
